h3_cell,poi_subway,poi_dining,poi_retail,poi_office,poi_tourism,poi_school,poi_nightlife,poi_total,poi_density_score
892a1008803ffff,0,0,0,0,0,0,0,0,0.0
892a1008807ffff,1,17,37,1,0,0,0,56,25.0
892a100880fffff,0,0,0,0,0,0,0,0,0.0
892a1008813ffff,0,0,0,0,0,0,0,0,0.0
892a1008817ffff,0,17,41,1,1,0,0,60,26.79
892a1008823ffff,0,15,18,0,0,6,0,39,17.41
892a1008827ffff,0,6,14,0,0,3,0,23,10.27
892a100882bffff,1,8,30,0,1,1,0,41,18.3
892a100882fffff,0,18,30,0,0,5,0,53,23.66
892a1008833ffff,0,23,25,0,2,3,0,53,23.66
892a1008837ffff,0,6,10,0,0,4,0,20,8.93
892a100883bffff,0,16,34,1,0,0,0,51,22.77
892a1008867ffff,0,0,0,0,0,0,0,0,0.0
892a1008877ffff,0,0,0,0,0,2,0,2,0.89
892a1008883ffff,1,29,23,0,0,3,0,56,25.0
892a1008887ffff,0,36,30,1,0,1,0,68,30.36
892a100888bffff,0,1,0,0,1,1,0,3,1.34
892a100888fffff,1,16,32,1,0,0,0,50,22.32
892a1008893ffff,0,24,23,0,0,0,0,47,20.98
892a1008897ffff,0,8,2,0,0,1,0,11,4.91
892a100889bffff,0,0,0,0,0,1,0,1,0.45
892a10088a3ffff,0,5,10,0,0,0,0,15,6.7
892a10088a7ffff,0,0,0,0,0,0,0,0,0.0
892a10088abffff,0,5,9,2,0,1,0,17,7.59
892a10088afffff,1,3,11,0,0,1,0,16,7.14
892a10088b3ffff,0,15,38,3,0,0,0,56,25.0
892a10088b7ffff,1,0,0,0,1,0,0,2,0.89
892a10088bbffff,0,9,16,2,0,0,0,27,12.05
892a1008903ffff,0,4,14,1,2,3,0,24,10.71
892a1008907ffff,0,27,26,0,0,0,0,53,23.66
892a100890bffff,0,6,0,0,1,1,0,8,3.57
892a100890fffff,0,6,5,1,0,1,0,13,5.8
892a1008913ffff,0,4,5,1,1,1,0,12,5.36
892a1008917ffff,1,25,47,0,1,2,0,76,33.93
892a100891bffff,0,1,0,0,1,0,0,2,0.89
892a1008923ffff,0,34,39,0,0,1,0,74,33.04
892a1008927ffff,0,25,32,2,0,1,0,60,26.79
892a100892bffff,0,12,22,1,0,0,0,35,15.62
892a100892fffff,1,21,22,1,0,1,0,46,20.54
892a1008933ffff,0,26,30,0,0,2,0,58,25.89
892a1008937ffff,0,14,24,1,0,0,0,39,17.41
892a100893bffff,1,22,21,2,0,1,0,47,20.98
892a1008943ffff,1,0,0,0,0,0,0,1,0.45
892a1008947ffff,0,0,1,0,1,0,0,2,0.89
892a100894bffff,0,5,16,1,4,1,0,27,12.05
892a100894fffff,0,1,0,0,0,0,0,1,0.45
892a1008953ffff,1,0,0,0,0,0,0,1,0.45
892a1008957ffff,0,0,0,0,0,0,0,0,0.0
892a100895bffff,0,22,14,1,0,3,0,40,17.86
892a1008963ffff,0,0,1,1,2,0,0,4,1.79
892a1008967ffff,0,2,10,2,1,0,0,15,6.7
892a100896bffff,0,0,0,0,2,0,0,2,0.89
892a100896fffff,0,0,0,0,0,0,0,0,0.0
892a1008973ffff,0,0,1,1,0,1,0,3,1.34
892a1008977ffff,0,7,19,2,5,2,0,35,15.62
892a100897bffff,0,0,0,0,0,0,0,0,0.0
892a1008983ffff,1,14,21,2,0,4,0,42,18.75
892a1008987ffff,0,17,23,1,0,1,0,42,18.75
892a100898bffff,0,4,15,2,0,4,0,25,11.16
892a100898fffff,0,24,42,0,0,1,0,67,29.91
892a1008993ffff,0,13,17,0,0,0,0,30,13.39
892a1008997ffff,1,3,5,1,0,0,0,10,4.46
892a100899bffff,0,17,14,0,0,2,0,33,14.73
892a10089a3ffff,0,12,27,0,0,3,0,42,18.75
892a10089a7ffff,0,3,3,0,0,1,0,7,3.12
892a10089abffff,1,43,48,3,0,0,0,95,42.41
892a10089afffff,0,15,23,2,0,1,0,41,18.3
892a10089b3ffff,0,14,18,1,1,1,0,35,15.62
892a10089b7ffff,0,1,2,0,0,0,0,3,1.34
892a10089bbffff,0,30,31,0,0,0,0,61,27.23
892a10089c3ffff,0,0,0,0,0,0,0,0,0.0
892a10089c7ffff,0,1,0,0,2,2,0,5,2.23
892a10089cbffff,0,0,0,0,0,0,0,0,0.0
892a10089cfffff,0,0,0,0,0,0,0,0,0.0
892a10089d3ffff,0,0,0,0,0,0,0,0,0.0
892a10089d7ffff,0,0,0,0,0,0,0,0,0.0
892a10089dbffff,0,0,0,0,0,0,0,0,0.0
892a1008b03ffff,0,1,1,0,0,0,0,2,0.89
892a1008b07ffff,0,0,3,0,0,0,0,3,1.34
892a1008b0fffff,0,1,1,1,0,0,0,3,1.34
892a1008b13ffff,0,0,0,0,0,0,0,0,0.0
892a1008b17ffff,0,9,26,0,0,3,0,38,16.96
892a1008b23ffff,0,3,1,7,0,5,0,16,7.14
