h3_cell,lat,lon,period,query_timestamp,poi_subway,poi_dining,poi_retail,poi_office,poi_tourism,poi_school,poi_nightlife,poi_total,poi_density_score,tlc_yellow_trips,tlc_hvfhv_trips,tlc_trip_count,tlc_load_score,mta_ridership_total,mta_ridership_avg,mta_load_score,citibike_trip_count,citibike_load_score,avg_temperature_f,precip_mm,avg_wind_kmh,sunrise_hour,sunset_hour,day_length_hr,day_of_week,is_weekend,is_holiday,is_school_break,week_of_year,day_of_year,years_since_2020,is_post_covid,event_intensity_score,month_sin,month_cos,period_sin,period_cos
892a1008803ffff,40.79782295730972,-73.97475203687152,MD,2026-06-30T12:19:21.907338,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008807ffff,40.79523794339453,-73.97250902990328,MD,2026-06-30T12:19:21.907338,1,17,37,1,0,0,0,56,25.0,19.32160087719298,67.3390350877193,86.66063596491227,10.86,4592.0,164.0,11.02,262,11.53,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a100880fffff,40.795122776260655,-73.97678906663745,MD,2026-06-30T12:19:21.907338,0,0,0,0,0,0,0,0,0.0,0.08125,7.491666666666666,7.572916666666666,0.95,0.0,0.0,0.0,0,0.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008813ffff,40.80052318923317,-73.97271477596826,MD,2026-06-30T12:19:21.907338,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,6.58,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008817ffff,40.79793804844384,-73.97047175574073,MD,2026-06-30T12:19:21.907338,0,17,41,1,1,0,0,60,26.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,9.01,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008823ffff,40.789953046698166,-73.97230333019724,MD,2026-06-30T12:19:21.907338,0,15,18,0,0,6,0,39,17.41,19.32160087719298,67.3390350877193,86.66063596491227,10.86,0.0,0.0,0.0,123,5.39,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008827ffff,40.78736824871378,-73.97006083835718,MD,2026-06-30T12:19:21.907338,0,6,14,0,0,3,0,23,10.27,19.32160087719298,67.3390350877193,86.66063596491227,10.86,0.0,0.0,0.0,224,9.85,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a100882bffff,40.78983788594548,-73.97658288490179,MD,2026-06-30T12:19:21.907338,1,8,30,0,1,1,0,41,18.3,19.32160087719298,67.3390350877193,86.66063596491227,10.86,2132.0,71.06666666666666,5.08,148,6.49,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a100882fffff,40.78725317030209,-73.97434015542497,MD,2026-06-30T12:19:21.907338,0,18,30,0,0,5,0,53,23.66,60.38651315789473,116.78815789473684,177.17467105263157,22.21,0.0,0.0,0.0,262,11.53,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008833ffff,40.79265297399342,-73.97026627390053,MD,2026-06-30T12:19:21.907338,0,23,25,0,2,3,0,53,23.66,19.32160087719298,67.3390350877193,86.66063596491227,10.86,0.0,0.0,0.0,0,0.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008837ffff,40.79006804912875,-73.96802376882803,MD,2026-06-30T12:19:21.907338,0,6,10,0,0,4,0,20,8.93,19.32160087719298,67.3390350877193,86.66063596491227,10.86,0.0,0.0,0.0,0,0.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a100883bffff,40.792537889221244,-73.97454607294559,MD,2026-06-30T12:19:21.907338,0,16,34,1,0,0,0,51,22.77,19.32160087719298,67.3390350877193,86.66063596491227,10.86,0.0,0.0,0.0,159,6.98,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008867ffff,40.78972256687171,-73.98086243289394,MD,2026-06-30T12:19:21.907338,0,0,0,0,0,0,0,0,0.0,0.08125,7.491666666666666,7.572916666666666,0.95,0.0,0.0,0.0,0,0.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008877ffff,40.79242264610749,-73.97882586530018,MD,2026-06-30T12:19:21.907338,0,0,0,0,0,2,0,2,0.89,0.08125,7.491666666666666,7.572916666666666,0.95,0.0,0.0,0.0,114,4.99,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008883ffff,40.803338411084496,-73.96639651391814,MD,2026-06-30T12:19:21.907338,1,29,23,0,0,3,0,56,25.0,37.56666666666667,75.83125,113.39791666666667,14.22,1611.0,59.66666666666666,3.82,208,9.14,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008887ffff,40.80075306105909,-73.96415371825476,MD,2026-06-30T12:19:21.907338,0,36,30,1,0,1,0,68,30.36,60.27017543859649,117.46107456140348,177.73125,22.28,0.0,0.0,0.0,0,0.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a100888bffff,40.80322347200951,-73.97067728389345,MD,2026-06-30T12:19:21.907338,0,1,0,0,1,1,0,3,1.34,37.56666666666667,75.83125,113.39791666666667,14.22,0.0,0.0,0.0,0,0.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a100888fffff,40.80063820434767,-73.96843425042374,MD,2026-06-30T12:19:21.907338,1,16,32,1,0,0,0,50,22.32,37.56666666666667,75.83125,113.39791666666667,14.22,1769.0,70.76,4.2,264,11.62,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008893ffff,40.80603866863279,-73.9643585461897,MD,2026-06-30T12:19:21.907338,0,24,23,0,0,0,0,47,20.98,37.56666666666667,75.83125,113.39791666666667,14.22,0.0,0.0,0.0,197,8.66,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008897ffff,40.80345319173592,-73.96211573734033,MD,2026-06-30T12:19:21.907338,0,8,2,0,0,1,0,11,4.91,60.27017543859649,117.46107456140348,177.73125,22.28,0.0,0.0,0.0,142,6.23,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a100889bffff,40.80592380561719,-73.9686395606129,MD,2026-06-30T12:19:21.907338,0,0,0,0,0,1,0,1,0.45,37.56666666666667,75.83125,113.39791666666667,14.22,0.0,0.0,0.0,0,0.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a10088a3ffff,40.795467802575054,-73.96394893647737,MD,2026-06-30T12:19:21.907338,0,5,10,0,0,0,0,15,6.7,19.240350877192984,59.84736842105263,79.08771929824562,9.92,0.0,0.0,0.0,352,15.5,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a10088a7ffff,40.792882668508945,-73.96170665593014,MD,2026-06-30T12:19:21.907338,0,0,0,0,0,0,0,0,0.0,19.240350877192984,59.84736842105263,79.08771929824562,9.92,0.0,0.0,0.0,0,0.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a10088abffff,40.79535295216634,-73.96822898650066,MD,2026-06-30T12:19:21.907338,0,5,9,2,0,1,0,17,7.59,19.240350877192984,59.84736842105263,79.08771929824562,9.92,0.0,0.0,0.0,0,0.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a10088afffff,40.792767900422994,-73.9659864682128,MD,2026-06-30T12:19:21.907338,1,3,11,0,0,1,0,16,7.14,19.240350877192984,59.84736842105263,79.08771929824562,9.92,1313.0,52.52,3.1,567,25.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a10088b3ffff,40.79816775556336,-73.9619111735875,MD,2026-06-30T12:19:21.907338,0,15,38,3,0,0,0,56,25.0,22.703508771929823,41.62982456140351,64.33333333333333,8.07,0.0,0.0,0.0,297,13.07,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a10088b7ffff,40.795582494619644,-73.95966887988108,MD,2026-06-30T12:19:21.907338,1,0,0,0,1,0,0,2,0.89,22.703508771929823,41.62982456140351,64.33333333333333,8.07,741.0,39.0,1.72,0,0.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
