h3_cell,lat,lon,period,query_timestamp,poi_subway,poi_dining,poi_retail,poi_office,poi_tourism,poi_school,poi_nightlife,poi_total,poi_density_score,tlc_yellow_trips,tlc_hvfhv_trips,tlc_trip_count,tlc_load_score,mta_ridership_total,mta_ridership_avg,mta_load_score,citibike_trip_count,citibike_load_score,avg_temperature_f,precip_mm,avg_wind_kmh,sunrise_hour,sunset_hour,day_length_hr,day_of_week,is_weekend,is_holiday,is_school_break,week_of_year,day_of_year,event_intensity_score,month_sin,month_cos,period_sin,period_cos,ensemble_log_pred,pedestrians_pred,crowd_score
892a1008803ffff,40.79782295730972,-73.97475203687152,PM,2026-06-29T17:08:39.271921,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,7.4266487364722185,1679.2,75.9
892a1008807ffff,40.79523794339453,-73.97250902990328,PM,2026-06-29T17:08:39.271921,1,17,37,1,0,0,0,56,25.0,0.0,0.0,0.0,0.0,7346.0,244.86666666666667,17.66,383,16.87,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.78312508108426,6522.2,89.8
892a100880fffff,40.795122776260655,-73.97678906663745,PM,2026-06-29T17:08:39.271921,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,7.4266487364722185,1679.2,75.9
892a1008813ffff,40.80052318923317,-73.97271477596826,PM,2026-06-29T17:08:39.271921,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,7.02,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,7.4266487364722185,1679.2,75.9
892a1008817ffff,40.79793804844384,-73.97047175574073,PM,2026-06-29T17:08:39.271921,0,17,41,1,1,0,0,60,26.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325,14.31,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.807882787167193,6685.7,90.0
892a1008823ffff,40.789953046698166,-73.97230333019724,PM,2026-06-29T17:08:39.271921,0,15,18,0,0,6,0,39,17.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,6.71,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.632011930443984,5607.4,88.2
892a1008827ffff,40.78736824871378,-73.97006083835718,PM,2026-06-29T17:08:39.271921,0,6,14,0,0,3,0,23,10.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265,11.66,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.659426843722583,5763.2,88.5
892a100882bffff,40.78983788594548,-73.97658288490179,PM,2026-06-29T17:08:39.271921,1,8,30,0,1,1,0,41,18.3,40.0,4854.0,4894.0,3.36,3956.0,141.28571428571428,9.48,209,9.19,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.777933899552595,6488.5,89.7
892a100882fffff,40.78725317030209,-73.97434015542497,PM,2026-06-29T17:08:39.271921,0,18,30,0,0,5,0,53,23.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370,16.3,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.576285926475768,5303.4,87.7
892a1008833ffff,40.79265297399342,-73.97026627390053,PM,2026-06-29T17:08:39.271921,0,23,25,0,2,3,0,53,23.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.537627358563961,5102.2,87.3
892a1008837ffff,40.79006804912875,-73.96802376882803,PM,2026-06-29T17:08:39.271921,0,6,10,0,0,4,0,20,8.93,21199.0,52540.0,73739.0,50.56,0.0,0.0,0.0,0,0.0,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.293020626927785,3994.9,84.8
