h3_cell,period,citibike_trip_count,citibike_load_score,survey_date
892a1008807ffff,AM,238,10.47,reference
892a1008807ffff,EARLY,94,4.11,reference
892a1008807ffff,EVE,316,13.91,reference
892a1008807ffff,MD,262,11.53,reference
892a1008807ffff,NIGHT,126,5.52,reference
892a1008807ffff,PM,383,16.87,reference
892a1008813ffff,AM,112,4.9,reference
892a1008813ffff,EARLY,12,0.49,reference
892a1008813ffff,EVE,130,5.7,reference
892a1008813ffff,MD,150,6.58,reference
892a1008813ffff,NIGHT,14,0.57,reference
892a1008813ffff,PM,160,7.02,reference
892a1008817ffff,AM,190,8.35,reference
892a1008817ffff,EARLY,90,3.93,reference
892a1008817ffff,EVE,219,9.63,reference
892a1008817ffff,MD,205,9.01,reference
892a1008817ffff,NIGHT,68,2.96,reference
892a1008817ffff,PM,325,14.31,reference
892a1008823ffff,AM,146,6.4,reference
892a1008823ffff,EARLY,43,1.86,reference
892a1008823ffff,EVE,104,4.55,reference
892a1008823ffff,MD,123,5.39,reference
892a1008823ffff,NIGHT,17,0.71,reference
892a1008823ffff,PM,153,6.71,reference
892a1008827ffff,AM,281,12.37,reference
892a1008827ffff,EARLY,43,1.86,reference
892a1008827ffff,EVE,193,8.48,reference
892a1008827ffff,MD,224,9.85,reference
892a1008827ffff,NIGHT,14,0.57,reference
892a1008827ffff,PM,265,11.66,reference
892a100882bffff,AM,166,7.29,reference
892a100882bffff,EARLY,50,2.16,reference
892a100882bffff,EVE,175,7.69,reference
892a100882bffff,MD,148,6.49,reference
892a100882bffff,NIGHT,30,1.28,reference
892a100882bffff,PM,209,9.19,reference
892a100882fffff,AM,356,15.68,reference
892a100882fffff,EARLY,77,3.36,reference
892a100882fffff,EVE,301,13.25,reference
892a100882fffff,MD,262,11.53,reference
892a100882fffff,NIGHT,56,2.43,reference
892a100882fffff,PM,370,16.3,reference
892a100883bffff,AM,170,7.46,reference
892a100883bffff,EARLY,52,2.25,reference
892a100883bffff,EVE,175,7.69,reference
892a100883bffff,MD,159,6.98,reference
892a100883bffff,NIGHT,35,1.5,reference
892a100883bffff,PM,224,9.85,reference
892a1008877ffff,AM,131,5.74,reference
892a1008877ffff,EARLY,8,0.31,reference
892a1008877ffff,EVE,99,4.33,reference
892a1008877ffff,MD,114,4.99,reference
892a1008877ffff,NIGHT,6,0.22,reference
892a1008877ffff,PM,171,7.51,reference
892a1008883ffff,AM,103,4.51,reference
892a1008883ffff,EARLY,65,2.83,reference
892a1008883ffff,EVE,289,12.72,reference
892a1008883ffff,MD,208,9.14,reference
892a1008883ffff,NIGHT,65,2.83,reference
892a1008883ffff,PM,295,12.99,reference
892a100888fffff,AM,229,10.07,reference
892a100888fffff,EARLY,71,3.09,reference
892a100888fffff,EVE,289,12.72,reference
892a100888fffff,MD,264,11.62,reference
892a100888fffff,NIGHT,45,1.94,reference
892a100888fffff,PM,366,16.12,reference
892a1008893ffff,AM,87,3.8,reference
892a1008893ffff,EARLY,29,1.24,reference
892a1008893ffff,EVE,183,8.04,reference
892a1008893ffff,MD,197,8.66,reference
892a1008893ffff,NIGHT,39,1.68,reference
892a1008893ffff,PM,251,11.04,reference
892a1008897ffff,AM,110,4.81,reference
892a1008897ffff,EARLY,62,2.69,reference
892a1008897ffff,EVE,200,8.79,reference
892a1008897ffff,MD,142,6.23,reference
892a1008897ffff,NIGHT,43,1.86,reference
892a1008897ffff,PM,206,9.05,reference
892a10088a3ffff,AM,300,13.21,reference
892a10088a3ffff,EARLY,81,3.53,reference
892a10088a3ffff,EVE,307,13.52,reference
892a10088a3ffff,MD,352,15.5,reference
892a10088a3ffff,NIGHT,28,1.19,reference
892a10088a3ffff,PM,435,19.17,reference
892a10088afffff,AM,341,15.02,reference
892a10088afffff,EARLY,74,3.22,reference
892a10088afffff,EVE,460,20.27,reference
892a10088afffff,MD,567,25.0,reference
892a10088afffff,NIGHT,66,2.87,reference
892a10088afffff,PM,724,31.93,reference
892a10088b3ffff,AM,280,12.32,reference
892a10088b3ffff,EARLY,59,2.56,reference
892a10088b3ffff,EVE,242,10.64,reference
892a10088b3ffff,MD,297,13.07,reference
892a10088b3ffff,NIGHT,39,1.68,reference
892a10088b3ffff,PM,332,14.62,reference
892a10088bbffff,AM,144,6.32,reference
