h3_cell,period,mta_ridership_total,mta_ridership_avg,mta_station_count,mta_transfers_total,mta_load_score,survey_date
892a1008807ffff,AM,7459.0,324.30434782608694,1,166.0,17.94,reference
892a1008807ffff,EARLY,1025.0,30.147058823529413,1,18.0,2.41,reference
892a1008807ffff,EVE,4772.0,170.42857142857142,1,163.0,11.45,reference
892a1008807ffff,MD,4592.0,164.0,1,152.0,11.02,reference
892a1008807ffff,NIGHT,822.0,63.23076923076923,1,36.0,1.92,reference
892a1008807ffff,PM,7346.0,244.86666666666667,1,435.0,17.66,reference
892a100882bffff,AM,3196.0,145.27272727272728,1,128.0,7.65,reference
892a100882bffff,EARLY,407.0,14.535714285714286,1,13.0,0.92,reference
892a100882bffff,EVE,2504.0,100.16,1,135.0,5.98,reference
892a100882bffff,MD,2132.0,71.06666666666666,1,117.0,5.08,reference
892a100882bffff,NIGHT,508.0,42.333333333333336,1,13.0,1.16,reference
892a100882bffff,PM,3956.0,141.28571428571428,1,260.0,9.48,reference
892a1008883ffff,AM,2264.0,119.15789473684212,1,28.0,5.4,reference
892a1008883ffff,EARLY,292.0,10.06896551724138,1,5.0,0.64,reference
892a1008883ffff,EVE,1678.0,67.12,1,35.0,3.98,reference
892a1008883ffff,MD,1611.0,59.66666666666666,1,26.0,3.82,reference
892a1008883ffff,NIGHT,287.0,26.09090909090909,1,5.0,0.63,reference
892a1008883ffff,PM,2766.0,106.3846153846154,1,66.0,6.61,reference
892a100888fffff,AM,2448.0,128.8421052631579,1,17.0,5.84,reference
892a100888fffff,EARLY,318.0,11.357142857142858,1,3.0,0.7,reference
892a100888fffff,EVE,1548.0,59.53846153846154,1,21.0,3.67,reference
892a100888fffff,MD,1769.0,70.76,1,14.0,4.2,reference
892a100888fffff,NIGHT,235.0,21.363636363636363,1,1.0,0.5,reference
892a100888fffff,PM,2300.0,76.66666666666667,1,29.0,5.49,reference
892a10088afffff,AM,1764.0,98.0,1,191.0,4.19,reference
892a10088afffff,EARLY,179.0,8.95,1,26.0,0.37,reference
892a10088afffff,EVE,1617.0,73.5,1,284.0,3.84,reference
892a10088afffff,MD,1313.0,52.52,1,169.0,3.1,reference
892a10088afffff,NIGHT,135.0,12.272727272727272,1,27.0,0.26,reference
892a10088afffff,PM,2924.0,112.46153846153848,1,669.0,6.99,reference
892a10088b7ffff,AM,1081.0,72.06666666666666,1,4.0,2.54,reference
892a10088b7ffff,EARLY,184.0,9.68421052631579,1,0.0,0.38,reference
892a10088b7ffff,EVE,582.0,32.333333333333336,1,5.0,1.34,reference
892a10088b7ffff,MD,741.0,39.0,1,5.0,1.72,reference
892a10088b7ffff,NIGHT,62.0,7.75,1,0.0,0.08,reference
892a10088b7ffff,PM,953.0,47.65,1,10.0,2.23,reference
892a1008917ffff,AM,7070.0,307.39130434782606,1,515.0,17.0,reference
892a1008917ffff,EARLY,870.0,24.166666666666668,1,81.0,2.03,reference
892a1008917ffff,EVE,6923.0,230.76666666666668,1,312.0,16.64,reference
892a1008917ffff,MD,5447.0,217.88,1,263.0,13.08,reference
892a1008917ffff,NIGHT,1116.0,85.84615384615384,1,45.0,2.63,reference
892a1008917ffff,PM,13185.0,439.5,1,625.0,31.75,reference
892a100892fffff,AM,5068.0,230.3636363636364,1,57.0,12.17,reference
892a100892fffff,EARLY,456.0,15.724137931034482,1,2.0,1.04,reference
892a100892fffff,EVE,4884.0,187.84615384615384,1,56.0,11.72,reference
892a100892fffff,MD,3451.0,143.79166666666666,1,59.0,8.26,reference
892a100892fffff,NIGHT,764.0,69.45454545454545,1,5.0,1.78,reference
892a100892fffff,PM,9107.0,325.25,1,104.0,21.91,reference
892a100893bffff,AM,4239.0,249.35294117647055,1,227.0,10.16,reference
892a100893bffff,EARLY,418.0,16.72,1,15.0,0.94,reference
892a100893bffff,EVE,4149.0,165.96,1,115.0,9.95,reference
892a100893bffff,MD,3484.0,124.42857142857144,1,144.0,8.34,reference
892a100893bffff,NIGHT,722.0,65.63636363636364,1,6.0,1.68,reference
892a100893bffff,PM,9001.0,321.4642857142857,1,221.0,21.66,reference
892a100894bffff,AM,1270.0,84.66666666666667,1,112.0,3.0,reference
892a100894bffff,EARLY,179.0,6.884615384615385,1,8.0,0.37,reference
892a100894bffff,EVE,1982.0,73.4074074074074,1,135.0,4.72,reference
892a100894bffff,MD,1565.0,68.04347826086956,1,96.0,3.71,reference
892a100894bffff,NIGHT,279.0,27.9,1,16.0,0.61,reference
892a100894bffff,PM,4966.0,198.64,1,391.0,11.92,reference
892a1008953ffff,AM,2014.0,100.7,1,142.0,4.8,reference
892a1008953ffff,EARLY,192.0,9.6,1,26.0,0.4,reference
892a1008953ffff,EVE,1638.0,68.25,1,142.0,3.89,reference
892a1008953ffff,MD,1489.0,62.04166666666666,1,132.0,3.53,reference
892a1008953ffff,NIGHT,227.0,22.7,1,15.0,0.48,reference
892a1008953ffff,PM,3184.0,109.79310344827586,1,301.0,7.62,reference
892a1008983ffff,AM,2884.0,131.0909090909091,1,159.0,6.89,reference
892a1008983ffff,EARLY,405.0,14.464285714285714,1,22.0,0.91,reference
892a1008983ffff,EVE,2268.0,81.0,1,145.0,5.41,reference
892a1008983ffff,MD,2543.0,94.1851851851852,1,127.0,6.07,reference
892a1008983ffff,NIGHT,300.0,27.272727272727277,1,11.0,0.66,reference
892a1008983ffff,PM,5653.0,194.93103448275863,1,323.0,13.58,reference
892a1008997ffff,AM,4444.0,202.0,1,330.0,10.66,reference
892a1008997ffff,EARLY,752.0,22.78787878787879,1,83.0,1.75,reference
892a1008997ffff,EVE,1758.0,70.32,1,78.0,4.18,reference
892a1008997ffff,MD,2390.0,91.92307692307692,1,189.0,5.7,reference
892a1008997ffff,NIGHT,327.0,25.153846153846157,1,5.0,0.72,reference
892a1008997ffff,PM,3807.0,126.9,1,213.0,9.12,reference
892a10089abffff,AM,6624.0,348.63157894736844,1,115.0,15.92,reference
892a10089abffff,EARLY,630.0,21.0,1,10.0,1.46,reference
892a10089abffff,EVE,3124.0,120.15384615384616,1,79.0,7.47,reference
892a10089abffff,MD,2847.0,113.88,1,74.0,6.81,reference
892a10089abffff,NIGHT,556.0,42.76923076923077,1,2.0,1.28,reference
892a10089abffff,PM,4866.0,173.78571428571428,1,158.0,11.68,reference
892a1008b83ffff,AM,2333.0,129.61111111111111,1,81.0,5.56,reference
892a1008b83ffff,EARLY,265.0,13.25,1,8.0,0.57,reference
