feature,mean_abs_shap,group
avg_temperature_f,0.07797312876391502,weather
sunrise_hour,0.05594171911599088,sunlight
poi_school,0.0525959820701424,poi
event_count,0.050385890976254316,events
poi_dining,0.047587856025217506,poi
day_of_year,0.04689781998627042,other
citibike_load_score,0.04078846817806761,mobility
poi_total,0.03838522126154793,poi
day_length_hr,0.034982821202186126,sunlight
poi_retail,0.029818206483210423,poi
poi_office,0.015217548057637075,poi
poi_tourism,0.013497239485494385,poi
avg_wind_kmh,0.011171672985892485,weather
dominant_weather_code,0.009625191645946576,other
poi_density_score,0.009065064732028397,poi
citibike_trip_count,0.0074227832047562186,mobility
poi_subway,0.006655262160827886,poi
precip_mm,0.006005239424895216,weather
week_of_year,0.004512888281867318,other
day_of_week,0.00333611753174859,other
tlc_yellow_trips,0.0016393704027555793,mobility
tlc_load_score,0.0009384414875574433,mobility
tlc_trip_count,0.0008115400015967946,mobility
poi_nightlife,0.0007818864929641916,poi
tlc_yellow_avg_fare,0.0004260546870960802,mobility
mta_ridership_avg,0.0,mobility
mta_station_count,0.0,mobility
tlc_hvfhv_trips,0.0,mobility
event_intensity_score,0.0,events
mta_load_score,0.0,mobility
mta_transfers_total,0.0,mobility
sunset_hour,0.0,sunlight
tlc_hvfhv_avg_fare,0.0,mobility
mta_ridership_total,0.0,mobility
is_holiday,0.0,calendar
is_weekend,0.0,calendar
is_school_break,0.0,calendar
tlc_yellow_trips_missing,0.0,mobility
tlc_yellow_avg_fare_missing,0.0,mobility
tlc_hvfhv_trips_missing,0.0,mobility
tlc_trip_count_missing,0.0,mobility
tlc_hvfhv_avg_fare_missing,0.0,mobility
mta_ridership_total_missing,0.0,mobility
mta_ridership_avg_missing,0.0,mobility
mta_station_count_missing,0.0,mobility
mta_transfers_total_missing,0.0,mobility
citibike_trip_count_missing,0.0,mobility
poi_subway_missing,0.0,poi
poi_dining_missing,0.0,poi
poi_retail_missing,0.0,poi
poi_office_missing,0.0,poi
poi_tourism_missing,0.0,poi
poi_school_missing,0.0,poi
poi_nightlife_missing,0.0,poi
poi_total_missing,0.0,poi
event_count_missing,0.0,events
weather_category_clear,0.0,other
weather_category_partly_cloudy,0.0,other
weather_category_rain,0.0,other
weather_category_nan,0.0,other
